2021-01-22 00:00:25.929 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:26.076 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:26.205 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:26.365 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:26.508 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:26.677 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:26.803 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:26.967 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:27.097 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:27.256 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:27.384 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:27.580 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
